Facility ID,Facility Name,State,City/Town,Hospital Type,Hospital Ownership,Hospital overall rating,Emergency Services,Measure Name,excess_ratio,num_discharges,num_readmissions,predicted_rate,expected_rate
10001,SOUTHEAST HEALTH MEDICAL CENTER,AL,DOTHAN,Acute Care Hospitals,Government - Hospital District or Authority,4,Yes,READM-30-CABG-HRRP,0.9531,137,13,10.396,10.9078
10001,SOUTHEAST HEALTH MEDICAL CENTER,AL,DOTHAN,Acute Care Hospitals,Government - Hospital District or Authority,4,Yes,READM-30-AMI-HRRP,0.937,273,33,13.2998,14.1948
10001,SOUTHEAST HEALTH MEDICAL CENTER,AL,DOTHAN,Acute Care Hospitals,Government - Hospital District or Authority,4,Yes,READM-30-COPD-HRRP,0.9823,122,19,16.6384,16.9389
10001,SOUTHEAST HEALTH MEDICAL CENTER,AL,DOTHAN,Acute Care Hospitals,Government - Hospital District or Authority,4,Yes,READM-30-PN-HRRP,0.9871,507,79,15.7529,15.9591
10001,SOUTHEAST HEALTH MEDICAL CENTER,AL,DOTHAN,Acute Care Hospitals,Government - Hospital District or Authority,4,Yes,READM-30-HF-HRRP,1.0233,653,136,20.5695,20.101
10005,MARSHALL MEDICAL CENTERS,AL,BOAZ,Acute Care Hospitals,Government - Hospital District or Authority,3,Yes,READM-30-COPD-HRRP,0.9308,132,17,16.8541,18.108
10005,MARSHALL MEDICAL CENTERS,AL,BOAZ,Acute Care Hospitals,Government - Hospital District or Authority,3,Yes,READM-30-HF-HRRP,1.0087,164,35,20.9512,20.77
10005,MARSHALL MEDICAL CENTERS,AL,BOAZ,Acute Care Hospitals,Government - Hospital District or Authority,3,Yes,READM-30-PN-HRRP,0.8727,292,30,13.3116,15.2532
10006,NORTH ALABAMA MEDICAL CENTER,AL,FLORENCE,Acute Care Hospitals,Proprietary,2,Yes,READM-30-AMI-HRRP,0.9195,285,29,11.6567,12.6772
10006,NORTH ALABAMA MEDICAL CENTER,AL,FLORENCE,Acute Care Hospitals,Proprietary,2,Yes,READM-30-PN-HRRP,0.9819,679,105,15.6444,15.9334
10006,NORTH ALABAMA MEDICAL CENTER,AL,FLORENCE,Acute Care Hospitals,Proprietary,2,Yes,READM-30-HF-HRRP,0.9925,461,88,19.2066,19.3517
10006,NORTH ALABAMA MEDICAL CENTER,AL,FLORENCE,Acute Care Hospitals,Proprietary,2,Yes,READM-30-COPD-HRRP,1.052,174,37,19.1045,18.1604
10007,MIZELL MEMORIAL HOSPITAL,AL,OPP,Acute Care Hospitals,Voluntary non-profit - Private,1,Yes,READM-30-PN-HRRP,1.0345,84,16,16.336,15.7913
10007,MIZELL MEMORIAL HOSPITAL,AL,OPP,Acute Care Hospitals,Voluntary non-profit - Private,1,Yes,READM-30-HF-HRRP,1.062,39,12,19.6947,18.5446
10011,ST. VINCENT'S EAST,AL,BIRMINGHAM,Acute Care Hospitals,Voluntary non-profit - Private,3,Yes,READM-30-AMI-HRRP,0.9697,118,12,11.4644,11.8232
10011,ST. VINCENT'S EAST,AL,BIRMINGHAM,Acute Care Hospitals,Voluntary non-profit - Private,3,Yes,READM-30-CABG-HRRP,1.1213,63,11,12.5649,11.2054
10011,ST. VINCENT'S EAST,AL,BIRMINGHAM,Acute Care Hospitals,Voluntary non-profit - Private,3,Yes,READM-30-HF-HRRP,1.0373,268,56,19.906,19.1894
10011,ST. VINCENT'S EAST,AL,BIRMINGHAM,Acute Care Hospitals,Voluntary non-profit - Private,3,Yes,READM-30-COPD-HRRP,0.9988,57,11,19.4501,19.4725
10011,ST. VINCENT'S EAST,AL,BIRMINGHAM,Acute Care Hospitals,Voluntary non-profit - Private,3,Yes,READM-30-PN-HRRP,1.0102,281,46,16.1282,15.9654
10012,DEKALB REGIONAL MEDICAL CENTER,AL,FORT PAYNE,Acute Care Hospitals,Proprietary,2,Yes,READM-30-HF-HRRP,1.084,98,25,19.6001,18.0817
10012,DEKALB REGIONAL MEDICAL CENTER,AL,FORT PAYNE,Acute Care Hospitals,Proprietary,2,Yes,READM-30-PN-HRRP,1.0206,142,23,15.253,14.9444
10016,SHELBY BAPTIST MEDICAL CENTER,AL,ALABASTER,Acute Care Hospitals,Voluntary non-profit - Private,2,Yes,READM-30-PN-HRRP,1.0292,216,38,16.7023,16.2284
10016,SHELBY BAPTIST MEDICAL CENTER,AL,ALABASTER,Acute Care Hospitals,Voluntary non-profit - Private,2,Yes,READM-30-HF-HRRP,1.0053,212,43,20.1019,19.9957
10019,HELEN KELLER HOSPITAL,AL,SHEFFIELD,Acute Care Hospitals,Government - Hospital District or Authority,2,Yes,READM-30-HF-HRRP,0.9057,255,37,17.2859,19.0851
10019,HELEN KELLER HOSPITAL,AL,SHEFFIELD,Acute Care Hospitals,Government - Hospital District or Authority,2,Yes,READM-30-COPD-HRRP,1.0327,169,32,17.547,16.991
10019,HELEN KELLER HOSPITAL,AL,SHEFFIELD,Acute Care Hospitals,Government - Hospital District or Authority,2,Yes,READM-30-PN-HRRP,1.0061,235,33,13.8755,13.7919
10023,BAPTIST MEDICAL CENTER SOUTH,AL,MONTGOMERY,Acute Care Hospitals,Government - Hospital District or Authority,2,Yes,READM-30-HF-HRRP,1.0589,289,68,22.0595,20.8335
10023,BAPTIST MEDICAL CENTER SOUTH,AL,MONTGOMERY,Acute Care Hospitals,Government - Hospital District or Authority,2,Yes,READM-30-PN-HRRP,1.049,162,33,18.3401,17.4837
10023,BAPTIST MEDICAL CENTER SOUTH,AL,MONTGOMERY,Acute Care Hospitals,Government - Hospital District or Authority,2,Yes,READM-30-COPD-HRRP,1.0436,64,16,19.9666,19.1329
