Facility Name,State,Hospital overall rating,avg_excess_ratio,total_discharges,cluster
SOUTHEAST HEALTH MEDICAL CENTER,AL,4,0.9765599999999999,1692,0
MARSHALL MEDICAL CENTERS,AL,3,0.9373999999999999,588,0
NORTH ALABAMA MEDICAL CENTER,AL,2,0.986475,1599,2
MIZELL MEMORIAL HOSPITAL,AL,1,1.04825,123,2
ST. VINCENT'S EAST,AL,3,1.02746,787,2
DEKALB REGIONAL MEDICAL CENTER,AL,2,1.0523,240,2
SHELBY BAPTIST MEDICAL CENTER,AL,2,1.01725,428,2
HELEN KELLER HOSPITAL,AL,2,0.9814999999999999,659,0
BAPTIST MEDICAL CENTER SOUTH,AL,2,1.039975,701,0
JACKSON HOSPITAL & CLINIC INC,AL,2,1.001475,809,2
THE EAST ALABAMA HEALTHCARE AUTHORITY,AL,3,0.985375,956,0
UNIVERSITY OF ALABAMA HOSPITAL,AL,2,1.10594,1803,0
CULLMAN REGIONAL MEDICAL CENTER,AL,2,1.0102,930,0
ANDALUSIA HEALTH,AL,2,0.9944,271,2
HUNTSVILLE HOSPITAL,AL,3,0.9297000000000001,3786,3
GADSDEN REGIONAL MEDICAL CENTER,AL,2,1.035425,613,2
RIVERVIEW REGIONAL MEDICAL CENTER,AL,3,1.0956333333333335,696,2
MEDICAL CENTER ENTERPRISE,AL,4,0.9904000000000001,309,1
FLOWERS HOSPITAL,AL,2,1.0901833333333333,1297,2
ST VINCENT'S BIRMINGHAM,AL,3,1.057425,950,2
HIGHLANDS MEDICAL CENTER,AL,3,0.9641,124,0
RUSSELL MEDICAL CENTER,AL,3,0.9711,71,1
NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,1,1.08584,1204,0
ATHENS LIMESTONE HOSPITAL,AL,2,1.0235333333333334,412,0
BALDWIN HEALTH,AL,4,0.9894749999999999,742,1
DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,AL,3,0.9582,916,0
USA HEALTH UNIVERSITY HOSPITAL,AL,2,1.0179,55,0
WALKER BAPTIST MEDICAL CENTER,AL,3,1.0047,403,2
"USA HEALTH HCA PROVIDENCE HOSPITAL, LLC",AL,3,1.0841666666666667,615,2
DCH REGIONAL MEDICAL CENTER,AL,2,1.080475,1601,0
THOMAS HOSPITAL,AL,2,1.03794,1118,2
CITIZENS BAPTIST MEDICAL CENTER,AL,1,1.1161,50,2
PRINCETON BAPTIST MEDICAL CENTER,AL,3,0.9829,467,1
GRANDVIEW MEDICAL CENTER,AL,3,1.01545,1802,2
PRATTVILLE BAPTIST HOSPITAL,AL,3,1.0055333333333334,404,0
WHITFIELD REGIONAL HOSPITAL,AL,2,1.0366,51,0
MOBILE INFIRMARY MEDICAL CENTER,AL,2,1.0374750000000001,1056,2
"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",AL,3,0.98275,261,0
VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,AL,2,1.0838,95,2
LAKELAND COMMUNITY HOSPITAL,AL,3,0.97495,284,1
ST VINCENT'S ST CLAIR,AL,3,1.0476999999999999,174,2
CRESTWOOD MEDICAL CENTER,AL,3,1.074875,850,2
BAPTIST HEALTH BROOKWOOD HOSPITAL,AL,3,0.96385,310,1
SPRINGHILL MEDICAL CENTER,AL,3,1.0252999999999999,517,2
EVERGREEN MEDICAL CENTER,AL,3,1.0231,80,2
BAPTIST MEDICAL CENTER EAST,AL,4,1.0452000000000001,592,0
RUSSELLVILLE HOSPITAL,AL,4,1.0278,92,1
COOSA VALLEY MEDICAL CENTER,AL,3,1.0737,180,0
PROVIDENCE ALASKA MEDICAL CENTER,AK,3,0.92506,1480,1
MAT-SU REGIONAL MEDICAL CENTER,AK,3,0.9595,848,1
BARTLETT REGIONAL HOSPITAL,AK,4,1.02285,119,0
FAIRBANKS MEMORIAL HOSPITAL,AK,2,0.93755,298,1
ALASKA REGIONAL HOSPITAL,AK,1,1.08738,1155,2
CENTRAL PENINSULA GENERAL HOSPITAL,AK,2,1.1150333333333333,470,2
ALASKA NATIVE MEDICAL CENTER,AK,2,1.00865,303,0
BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,AZ,3,1.04705,529,2
TUCSON MEDICAL CENTER,AZ,2,1.1076799999999998,1915,2
VERDE VALLEY MEDICAL CENTER,AZ,4,0.9381666666666666,492,1
ST. MARY'S HOSPITAL,AZ,2,1.0052333333333332,548,2
ST JOSEPH'S HOSPITAL,AZ,3,0.9993666666666666,486,1
YAVAPAI REGIONAL MEDICAL CENTER,AZ,2,0.993,1918,2
YUMA REGIONAL MEDICAL CENTER,AZ,2,0.994875,1546,2
HONOR HEALTH JOHN C. LINCOLN MEDICAL CENTER,AZ,3,0.9894666666666666,661,1
BANNER CASA GRANDE MEDICAL CENTER,AZ,2,1.07085,526,2
VALLEYWISE HEALTH MEDICAL CENTER,AZ,1,1.0638,38,0
