City/Town,Facility Name,avg_excess_ratio,avg_star_rating,total_discharges,pct_penalized
BRONX,BRONXCARE HOSPITAL CENTER,1.089,1.0,281,100.0
BRONX,JACOBI MEDICAL CENTER,1.039,2.0,374,100.0
BRONX,LINCOLN MEDICAL & MENTAL HEALTH CENTER,0.985,2.0,65,0.0
BRONX,MONTEFIORE MEDICAL CENTER,1.036,3.0,2806,50.0
BRONX,ST BARNABAS HOSPITAL,1.062,1.0,49,100.0
BROOKLYN,BROOKDALE HOSPITAL MEDICAL CENTER,1.012,1.0,440,66.667
BROOKLYN,BROOKLYN HOSPITAL CENTER - DOWNTOWN CAMPUS,1.053,2.0,369,100.0
BROOKLYN,KINGS COUNTY HOSPITAL CENTER,0.978,1.0,212,50.0
BROOKLYN,MAIMONIDES MEDICAL CENTER,1.128,2.0,2776,100.0
BROOKLYN,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",1.178,1.0,992,100.0
BROOKLYN,SOUTH BROOKLYN HEALTH,1.108,2.0,1285,100.0
BROOKLYN,SUNY/DOWNSTATE UNIVERSITY HOSPITAL OF BROOKLYN,1.086,1.0,157,100.0
BROOKLYN,WOODHULL MEDICAL & MENTAL HEALTH CENTER,1.044,2.0,57,100.0
BROOKLYN,WYCKOFF HEIGHTS MEDICAL CENTER,1.001,2.0,243,50.0
NEW YORK,BELLEVUE HOSPITAL CENTER,1.06,2.0,112,100.0
NEW YORK,HARLEM HOSPITAL CENTER,1.042,2.0,179,100.0
NEW YORK,HOSPITAL FOR SPECIAL SURGERY,0.674,5.0,3253,0.0
NEW YORK,LENOX HILL HOSPITAL,0.968,5.0,1337,20.0
NEW YORK,MOUNT SINAI BETH ISRAEL,1.06,3.0,1376,50.0
NEW YORK,MOUNT SINAI HOSPITAL,1.003,4.0,1978,50.0
NEW YORK,MOUNT SINAI WEST,1.079,4.0,1621,60.0
NEW YORK,NEW YORK-PRESBYTERIAN HOSPITAL,0.905,5.0,7865,0.0
NEW YORK,NYU LANGONE HOSPITALS,0.856,5.0,11138,0.0
STATEN ISLAND,RICHMOND UNIVERSITY MEDICAL CENTER,1.076,1.0,510,100.0
STATEN ISLAND,STATEN ISLAND UNIVERSITY HOSPITAL,1.021,3.0,2545,75.0
