State,avg_excess_ratio,num_hospitals,avg_star_rating,pct_penalized,total_penalty_usd
AK,1.008,7,2.348,47.826,782377.0500000005
AL,1.024,48,2.605,57.823,7661270.824999996
AR,1.012,33,2.547,57.547,7604915.175000001
AZ,1.011,47,3.013,55.629,8552710.39999999
CA,1.018,219,3.122,60.87,41033687.75999999
CO,0.971,32,4.048,33.735,922301.25
CT,1.008,25,3.482,52.941,4948088.599999999
DC,0.988,6,2.647,29.412,129479.99999999999
DE,0.969,6,3.045,22.727,798720.0
FL,1.028,157,3.042,62.606,50455669.225000024
GA,1.018,75,2.852,62.14,13042610.750000006
HI,0.99,9,3.192,50.0,94185.00000000076
IA,0.982,26,2.976,30.952,3038100.0
ID,0.914,11,3.8,6.667,0.0
IL,1.026,102,3.171,61.685,30547778.56000001
IN,1.004,66,3.174,50.917,11061650.730000004
KS,0.973,30,3.371,35.955,1791231.000000001
KY,1.018,51,2.735,59.259,9871800.9
LA,1.022,44,2.772,61.417,7468415.824999992
MA,1.045,50,3.153,67.857,23553544.949999996
MD,0.986,40,3.322,42.282,7383858.300000006
ME,0.956,12,3.594,28.125,348546.900000002
MI,1.01,74,2.805,52.439,16548228.450000007
MN,0.982,36,3.75,37.0,2201419.3499999973
MO,1.009,55,3.195,51.053,10087693.525000004
MS,1.027,43,2.182,66.942,8977207.2
MT,0.946,10,3.438,12.5,0.0
NC,0.996,74,3.319,47.809,11579330.099999981
ND,0.954,6,3.522,13.043,0.0
NE,0.986,19,3.429,48.214,1455643.8000000003
NH,0.991,13,3.286,42.857,1735936.0199999933
NJ,1.031,60,3.24,68.778,21585033.60000002
NM,0.985,12,2.125,45.0,766193.9999999995
NV,1.023,18,2.887,61.29,4597984.95
NY,1.013,119,2.841,58.568,24075460.5
OH,1.012,103,3.513,55.182,19336753.475
OK,1.0,42,3.056,47.2,5245589.374999994
OR,0.95,26,3.319,21.739,558717.2500000026
PA,1.017,110,3.504,56.131,25159619.42
RI,0.997,9,3.448,37.931,788580.0
SC,1.01,46,3.253,49.333,9731607.600000005
SD,0.962,10,3.929,35.714,156780.0
TN,1.011,62,3.074,52.941,9469349.824999996
TX,1.01,179,3.336,56.69,33130396.974999998
UT,0.937,15,4.588,20.588,153745.79999999993
VA,0.995,66,3.648,46.352,10476744.589999998
VT,0.98,6,3.444,27.778,243359.99999999997
WA,0.974,42,3.288,30.935,2749788.599999998
WI,0.99,51,3.867,38.462,3243578.975000004
WV,1.024,21,2.357,61.429,4645001.400000004
WY,0.962,5,2.615,7.692,0.0
