Facility Name,State,Hospital overall rating,avg_excess_ratio,total_discharges,estimated_penalty_usd
ADVENTHEALTH ORLANDO,FL,3,1.1425833333333333,9480,3697199.9999999995
LEHIGH VALLEY HOSPITAL,PA,4,1.0905500000000001,5973,2329470.0
METHODIST HOSPITAL,TX,4,1.00935,6202,2261559.299999993
NAPLES COMMUNITY HOSPITAL,FL,3,1.0237666666666667,5275,2057250.0
BAYSTATE MEDICAL CENTER,MA,2,1.1065666666666667,5167,2015129.9999999998
"NORTON HOSPITALS, INC",KY,2,1.0676999999999999,4690,1829099.9999999998
SOUTH SHORE HOSPITAL,MA,2,1.1172250000000001,4608,1797120.0000000002
BAPTIST HEALTH MEDICAL CENTER - JACKSONVILLE,FL,4,1.0438333333333334,4570,1782300.0
"LUMINIS HEALTH ANNE ARUNDEL MEDICAL CENTER, INC",MD,3,1.03292,4210,1641900.0
CLEVELAND CLINIC MARTIN NORTH HOSPITAL,FL,3,1.06558,4171,1626690.0
ENLOE HEALTH,CA,3,1.02424,4020,1567800.0
ECU HEALTH MEDICAL CENTER,NC,2,1.1064666666666667,3938,1535820.0
MEMORIAL HERMANN HOSPITAL SYSTEM,TX,3,1.0345400000000002,3922,1529580.0
COMMUNITY MEDICAL CENTER,NJ,1,1.11216,3920,1528800.0
PALOS COMMUNITY HOSPITAL,IL,4,1.10532,3873,1510470.0
MARION COMMUNTIY HOSPITAL,FL,1,1.0749,3848,1500720.0
DEACONESS HOSPITAL INC,IN,2,1.04565,3766,1468739.9999999998
CAPE COD HOSPITAL,MA,2,1.08915,3728,1453919.9999999998
NORTHWESTERN MEDICINE MCHENRY,IL,5,1.04335,3694,1440660.0
NORTHWEST COMMUNITY HOSPITAL 1,IL,4,1.0179166666666666,3581,1396590.0
